id,number,value,category_id,lang,code
1,1,Który z tych ssaków potrafi aktywnie latać?,1,pl,
2,2,Który pierwiastek chemiczny ma symbol Fe?,1,pl,
3,3,Ile wynosi 15% z liczby 200?,1,pl,
4,4,Która planeta obraca się najszybciej wokół własnej osi?,1,pl,
5,5,Jak nazywa się najwyższy wodospad świata?,1,pl,
6,6,W którym roku Polska przystąpiła do Unii Europejskiej?,1,pl,
7,7,W piłce nożnej ilu zawodników jednej drużyny przebywa jednocześnie na boisku?,1,pl,
8,8,Co oznacza skrót WWW?,1,pl,
9,9,Jak nazywa się osoba kierująca orkiestrą?,1,pl,
10,10,Który z tych filmów zdobył Oscara za najlepszy film?,1,pl,
11,11,Który narząd wytwarza insulinę?,1,pl,
12,12,Jak nazywa się proces przejścia cieczy w gaz?,1,pl,
13,13,Jakie światła należy włączyć podczas gęstej mgły z tyłu pojazdu?,1,pl,
14,14,Która z tych dyscyplin nie wykorzystuje piłki?,1,pl,
15,15,Który pisarz stworzył postać Bilba Bagginsa?,1,pl,
16,16,Jak nazywa się najdłuższa kość w ludzkim ciele?,1,pl,
17,17,Który z tych krajów leży jednocześnie w Europie i Azji?,1,pl,
18,18,Który król Polski zwyciężył pod Grunwaldem?,1,pl,
19,19,W chemii pH = 7 oznacza roztwór:,1,pl,
20,20,Który portal społecznościowy został stworzony jako platforma do krótkich filmów?,1,pl,
21,21,Jak nazywa się najwyższa kara w hokeju na lodzie za szczególnie brutalny faul?,1,pl,
22,22,Który z tych obrazów namalował Leonardo da Vinci?,1,pl,
23,23,W chrześcijaństwie Boże Narodzenie upamiętnia:,1,pl,
24,24,"Jak nazywa się ustrój, w którym obywatele wybierają swoich przedstawicieli w wyborach?",1,pl,
25,25,Który z tych celebrytów jest przede wszystkim znany jako kucharz?,1,pl,
26,26,Który z tych oceanów jest największy?,1,pl,
27,27,Jak nazywa się wynik mnożenia?,1,pl,
28,28,Który gaz stanowi największą część atmosfery Ziemi?,1,pl,
29,29,"Jak nazywa się proces, dzięki któremu rośliny produkują pokarm?",1,pl,
30,30,W którym mieście znajduje się Koloseum?,1,pl,
31,31,Który z tych królów był ostatnim królem Polski?,1,pl,
32,32,Jak nazywa się urządzenie mierzące temperaturę?,1,pl,
33,33,Który z tych sportów rozgrywany jest na lodzie?,1,pl,
34,34,Co oznacza skrót GPS?,1,pl,
35,35,Który aktor wcielił się w Jacka Sparrowa?,1,pl,
36,36,Jak nazywa się największy organ ludzkiego ciała?,1,pl,
37,37,Który metal jest ciekły w temperaturze pokojowej?,1,pl,
38,38,Jak nazywa się znak używany do oznaczania adresów e-mail?,1,pl,
39,39,Który z tych instrumentów należy do instrumentów strunowych?,1,pl,
40,40,"W którym sporcie zdobywa się hat-tricka, strzelając trzy gole?",1,pl,
41,41,Jak nazywa się święta księga islamu?,1,pl,
42,42,Który z tych ustrojów oznacza rządy króla lub królowej?,1,pl,
43,43,Który z tych samochodów jest produkowany przez firmę Ferrari?,1,pl,
44,44,Która platforma służy głównie do oglądania filmów wideo?,1,pl,
45,45,Kto namalował obraz 'Sąd Ostateczny' na sklepieniu Kaplicy Sykstyńskiej?,1,pl,
46,46,Jak nazywa się największa pustynia świata?,1,pl,
47,47,Jak nazywa się najwyższa liga piłkarska w Polsce?,1,pl,
48,48,Który z tych owoców jest cytrusem?,1,pl,
49,49,Jak nazywa się twórca Facebooka?,1,pl,
50,50,Która polska noblistka otrzymała Nagrodę Nobla w dziedzinie literatury w 2018 roku?,1,pl,
51,51,Który z tych ptaków nie potrafi latać?,1,pl,
52,52,Ile boków ma ośmiokąt?,1,pl,
53,53,Co jest jednostką natężenia prądu elektrycznego?,1,pl,
54,54,Jak nazywa się największy kontynent świata?,1,pl,
55,55,Który narząd odpowiada głównie za filtrowanie krwi?,1,pl,
56,56,Kto był pierwszym człowiekiem na Księżycu?,1,pl,
57,57,Która część samochodu odpowiada za zatrzymanie pojazdu?,1,pl,
58,58,Za rzut zza linii w koszykówce drużyna otrzymuje:,1,pl,
59,59,Najpopularniejsza wyszukiwarka internetowa?,1,pl,
60,60,Który serial opowiada o rodzinie Simpsonów?,1,pl,
61,61,Główny składnik diamentu?,1,pl,
62,62,Największy oceaniczny ssak?,1,pl,
63,63,W którym mieście znajduje się Wieża Eiffla?,1,pl,
